Group	0	1	2	3	4	5	6	7
1	Silver Lobo	Silver Lobo x2	Guard x2	Foper x2, Urok	Silver Lobo x2, Guard Leader	Hornet x2, Foper x3	Leaf Bunny	Leaf Bunny x2, Darkwind
2	Leaf Bunny x2, Darkwind x2	Sand Ray, Alacran x3	Sand Ray x2	Alacran x3	Sand Ray, Alacran x2	Hornet x2	Wererat x3	Hornet, Urok x2
3	Gorgias x2	Megalodoth, Silver Lobo	Urok x3	Belmodar	Belmodar, Mu x2	Mu x2, Unseelie	Belmodar, Unseelie, Mu x2	Unseelie x2
4	Mu x4	Imperial Soldier x2, Magitek Armor	Bandit, Spritzer	Magitek Armor	Trillium, Gorgias, Cirpius x2	Cirpius x3	Trillium x2	Gorgias, Cirpius x3
5	Zaghrem x2	Zaghrem, Trillium, Spritzer x2	Magitek Armor x2	Lesser Lopros x2	Zombie Dragon x2	Nautiloid, Exocite, Lesser Lopros	Nautiloid, Exocite	Lesser Lopros, Exocite x2
6	None	Silver Lobo, Guard x2	None	None	Wererat, Bandit	Wererat x2	Doberman x2	Actinian x3
7	None	Stray Cat x3	Nettlehopper x2, Stray Cat x2	Nettlehopper x3	Chippirabbit x5	Aepyornis	Aepyornis x2, Stray Cat	Aepyornis, Chippirabbit x2
8	Chippirabbit x3	Aepyornis, Stray Cat, Nettlehopper x2	None	None	Imperial Soldier x4	Satellite	Doberman x3	None
9	Heavy Armor	Ghost	Ghost x3	Actinian x3, Aspiran x2	Ghost, Poplium x2	Ghost x2, Poplium x3	Angel Whisper x2, Cloud	Spritzer x2
10	Bomb x2, Cloud x2	Provoker x2, Lich x2	Angel Whisper x4	Oversoul x2	Bomb x3	Bomb	Oversoul, Living Dead x2	None
11	Angel Whisper, Living Dead, Cloud x2	Angel Whisper, Cloud x3	Anguiform	Anguiform x2	Megalodoth x2, Guard x2	Living Dead x3	Anguiform, Actinian, Aspiran	Hell's Rider
12	Heavy Armor, Corporal x2	Fidor, Corporal	Angel Whisper	Corporal x4	Hunting Hound, Corporal x2	Fossil Dragon	Bloodfang x2	Paraladia, Vulture, Iron Fist
13	Iron Fist x2, Rock Wasp x2	Bloodfang x2, Vulture	Paraladia x2, Rock Wasp x3	Vulture x2	Vulture, Iron Fist	Rock Wasp x4	Hill Gigas	Crawler
14	Gobbledygook x4	Veil Dancer	Veil Dancer, Gobbledygook x3	Harvester	Veil Dancer, Harvester x2	Harvester, Gobbledygook x2	Hill Gigas, Harvester	Magna Roader (Purple)
15	Goetia, Stunner x2	Stunner x3, Goetia x2	Crawler x4	Belzecue x2, Sergeant x2	Belzecue x2, Sergeant	Magna Roader (Purple), Magna Roader (Red)	Trapper x3	General x2
